Season 34|2017-09-11 to 2018-07-27|(96 games archived)
Season 33|2016-09-12 to 2017-07-28|(230 games archived)
Season 32|2015-09-14 to 2016-07-29|(230 games archived)
Season 31|2014-09-15 to 2015-07-31|(230 games archived)
Season 30|2013-09-16 to 2014-08-01|(230 games archived)
Season 29|2012-09-17 to 2013-08-02|(230 games archived)
Season 28|2011-09-19 to 2012-08-03|(230 games archived)
Season 27|2010-09-13 to 2011-07-29|(230 games archived)
Season 26|2009-09-14 to 2010-07-30|(230 games archived)
Season 25|2008-09-08 to 2009-07-24|(230 games archived)
Season 24|2007-09-10 to 2008-07-25|(230 games archived)
Season 23|2006-09-11 to 2007-07-27|(230 games archived)
Season 22|2005-09-12 to 2006-07-28|(230 games archived)
Season 21|2004-09-06 to 2005-07-22|(230 games archived)
Season 20|2003-09-08 to 2004-07-23|(230 games archived)
Season 19|2002-09-02 to 2003-07-18|(228 games archived)
Season 18|2001-09-03 to 2002-07-19|(229 games archived)
Season 17|2000-09-04 to 2001-07-20|(230 games archived)
Season 16|1999-09-06 to 2000-07-21|(230 games archived)
Season 15|1998-09-07 to 1999-07-23|(228 games archived)
Season 14|1997-09-01 to 1998-07-17|(229 games archived)
Season 13|1996-09-02 to 1997-07-18|(208 games archived)
Season 12|1995-09-04 to 1996-07-19|(101 games archived)
Season 11|1994-09-05 to 1995-07-21|(46 games archived)
Season 10|1993-09-06 to 1994-07-22|(50 games archived)
Season 9|1992-09-07 to 1993-07-23|(70 games archived)
Season 8|1991-09-02 to 1992-07-17|(58 games archived)
Season 7|1990-09-03 to 1991-07-19|(57 games archived)
Super Jeopardy!|1990-06-16 to 1990-09-08|(13 games archived)
Season 6|1989-09-04 to 1990-07-20|(142 games archived)
Season 5|1988-09-05 to 1989-07-21|(119 games archived)
Season 4|1987-09-07 to 1988-07-22|(134 games archived)
Season 3|1986-09-08 to 1987-07-24|(103 games archived)
Season 2|1985-09-09 to 1986-06-06|(55 games archived)
Season 1|1984-09-10 to 1985-06-07|(42 games archived)
Trebek pilots|1983-09-18 and 1984?|(2 games archived)
